Geography,total,englishOnly,spanish,spanWell,spanLess,french,frenWell,frenLess,german,germWell,germLess,russian,russWell,russLess,indoEuro,indoWell,indoLess,korean,koreWell,koreLess,chinese,chinWell,chinLess,vietnamese,vietWell,vietLess,tagolog,tagoWell,tagoLess,otherAsian,otherAzWell,otherAzLess,arabic,arabWell,arabLess,other,otherWell,otherLess,shareEng,shareSpan,shareFren,shareGerm,shareRuss,shareIndo,shareKore,shareChin,shareViet,shareTago,shareOtherAz,shareArab,shareOther
Klamath,61959,56802,4126,2448,1678,152,130,22,180,180,0,56,42,14,91,50,41,25,0,25,114,34,80,10,6,4,148,87,61,63,37,26,88,78,10,104,99,5,0.91676754,0.066592424,0.002453235,0.002905147,0.000903823,0.001468713,0.000403493,0.001839926,0.000161397,0.002388676,0.001016801,0.001420294,0.001678529
Lake,7390,7064,223,114,109,0,0,0,8,8,0,13,8,5,20,20,0,0,0,0,11,7,4,0,0,0,9,0,9,35,30,5,0,0,0,7,7,0,0.955886333,0.030175913,0,0.001082544,0.001759134,0.00270636,0,0.001488498,0,0.001217862,0.00473613,0,0.000947226
Lane,345275,315612,17211,11856,5355,945,869,76,1610,1486,124,598,460,138,1708,1440,268,995,531,464,2741,1080,1661,488,301,187,453,362,91,1767,1345,422,477,286,191,670,567,103,0.91408877,0.049847223,0.002736949,0.00466295,0.001731953,0.004946782,0.002881761,0.0079386,0.001413366,0.001311998,0.00511766,0.001381507,0.001940482
Lincoln,44990,41488,2772,1840,932,52,48,4,102,93,9,26,26,0,61,54,7,55,17,38,100,5,95,20,15,5,52,28,24,191,185,6,16,16,0,55,44,11,0.92216048,0.061613692,0.001155812,0.00226717,0.000577906,0.001355857,0.001222494,0.002222716,0.000444543,0.001155812,0.004245388,0.000355635,0.001222494
Linn,113646,105243,6380,4480,1900,163,163,0,323,308,15,293,245,48,166,135,31,66,58,8,152,36,116,74,57,17,161,43,118,336,277,59,78,78,0,211,171,40,0.92605987,0.056139239,0.001434278,0.002842159,0.002578181,0.001460676,0.000580751,0.001337487,0.000651145,0.00141668,0.002956549,0.000686342,0.001856643
Malheur,28297,21286,6566,4360,2206,3,3,0,72,67,5,17,17,0,20,12,8,0,0,0,147,103,44,4,4,0,20,20,0,112,29,83,0,0,0,50,28,22,0.752235219,0.232038732,0.000106018,0.002544439,0.00060077,0.000706789,0,0.005194897,0.000141358,0.000706789,0.003958017,0,0.001766972
Marion,307963,230595,62669,34688,27981,517,392,125,1016,914,102,4934,3235,1699,1360,1029,331,209,88,121,935,253,682,1130,427,703,737,465,272,2971,1985,986,437,383,54,453,303,150,0.748775015,0.203495225,0.001678773,0.003299098,0.016021405,0.004416115,0.000678653,0.003036079,0.003669272,0.002393145,0.009647263,0.001419002,0.001470956
Morrow,10333,7112,3136,1527,1609,2,0,2,25,13,12,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,13,13,0,30,30,0,0,0,0,7,0,7,0.688280267,0.303493661,0.000193555,0.002419433,0,0.000774219,0,0,0,0.001258105,0.002903319,0,0.000677441
Multnomah,742626,593851,61178,37628,23550,4080,3481,599,4407,4144,263,16142,8529,7613,9945,6502,3443,1573,805,768,10265,4365,5900,14332,5044,9288,2680,1943,737,13357,7097,6260,2117,1147,970,8699,5227,3472,0.799663626,0.082380633,0.005494017,0.005934346,0.021736379,0.013391667,0.002118159,0.01382257,0.019299082,0.003608815,0.017986173,0.002850695,0.011713837
Polk,75055,64301,8123,5218,2905,98,95,3,282,258,24,185,114,71,360,284,76,124,105,19,492,254,238,20,20,0,120,117,3,431,187,244,244,78,166,275,227,48,0.856718407,0.1082273,0.001305709,0.003757245,0.002464859,0.004796483,0.001652122,0.006555193,0.000266471,0.001598828,0.005742456,0.003250949,0.00366398
Sherman,1578,1534,41,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.972116603,0.025982256,0,0,0,0,0,0,0,0,0,0,0.001901141
Tillamook,24567,22615,1699,1008,691,12,11,1,27,27,0,2,2,0,106,106,0,0,0,0,30,28,2,0,0,0,0,0,0,51,51,0,0,0,0,25,9,16,0.920543819,0.069157813,0.00048846,0.001099035,8.141E-05,0.004314731,0,0.00122115,0,0,0.002075956,0,0.001017625
Umatilla,71392,55210,15353,8006,7347,42,42,0,84,80,4,64,59,5,102,87,15,0,0,0,4,2,2,65,19,46,120,63,57,154,118,36,15,15,0,179,173,6,0.773335948,0.215052107,0.000588301,0.001176602,0.000896459,0.001428732,0,5.60287E-05,0.000910466,0.001680861,0.002157104,0.000210108,0.002507284
Union,24318,23069,700,417,283,32,21,11,100,100,0,20,10,10,71,43,28,0,0,0,26,13,13,5,0,5,34,13,21,227,180,47,5,5,0,29,29,0,0.948638868,0.028785262,0.001315898,0.00411218,0.000822436,0.002919648,0,0.001069167,0.000205609,0.001398141,0.009334649,0.000205609,0.001192532
Wallowa,6557,6327,111,67,44,32,32,0,19,19,0,15,15,0,29,29,0,0,0,0,0,0,0,3,2,1,6,0,6,12,6,6,0,0,0,3,0,3,0.964922983,0.016928473,0.004880281,0.002897667,0.002287632,0.004422754,0,0,0.000457526,0.000915053,0.001830105,0,0.000457526
Wasco,24042,20436,3127,1763,1364,21,21,0,36,20,16,62,12,50,41,17,24,4,0,4,6,6,0,0,0,0,29,22,7,125,75,50,23,23,0,132,127,5,0.850012478,0.130064055,0.000873471,0.00149738,0.00257882,0.001705349,0.000166376,0.000249563,0,0.001206222,0.005199235,0.000956659,0.005490392
Washington,535299,405133,66816,39727,27089,1758,1449,309,2911,2662,249,3772,2294,1478,13906,10290,3616,4496,2437,2059,7336,4299,3037,6070,2462,3608,3783,2638,1145,13269,9061,4208,3152,2173,979,2897,1950,947,0.756834965,0.12481996,0.003284146,0.005438082,0.007046529,0.025978005,0.008399044,0.01370449,0.011339457,0.007067078,0.024788016,0.005888298,0.005411929
Wheeler,1359,1322,27,27,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0.972774099,0.01986755,0,0.003679176,0,0,0,0.000735835,0,0.002943341,0,0,0
Yamhill,96453,82592,11636,6880,4756,202,195,7,614,559,55,207,186,21,232,218,14,138,89,49,371,233,138,38,25,13,168,135,33,155,82,73,24,24,0,76,64,12,0.856292702,0.120639068,0.002094284,0.006365795,0.002146123,0.002405317,0.001430749,0.003846433,0.000393974,0.001741781,0.001607,0.000248826,0.000787949
